epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10330.2,1.59276,1.09914,1.08845,0.80198,0.65253,0.71925,0.42548,1.73062,1.28198,1.13402,0.005842,0.005842,0.005842
44,10510.7,1.62378,1.11604,1.09071,0.74789,0.67572,0.74224,0.43253,1.70311,1.40098,1.1519,0.005743,0.005743,0.005743
45,10690.7,1.58228,1.08896,1.07542,0.87323,0.61232,0.73528,0.4328,1.76897,1.31147,1.14183,0.005644,0.005644,0.005644
46,10870.4,1.575,1.07361,1.0819,0.88715,0.59444,0.72242,0.43938,1.69938,1.25275,1.11412,0.005545,0.005545,0.005545
47,11053.6,1.58005,1.09926,1.06727,0.81021,0.62222,0.69918,0.42765,1.62833,1.30672,1.09762,0.005446,0.005446,0.005446
48,11236.1,1.56167,1.05408,1.07064,0.80486,0.67222,0.73336,0.435,1.76298,1.38438,1.13279,0.005347,0.005347,0.005347
49,11418.7,1.56904,1.08531,1.07611,0.74463,0.68039,0.7424,0.4328,1.64533,1.34459,1.12584,0.005248,0.005248,0.005248
50,11599.9,1.55085,1.06291,1.06452,0.80182,0.65187,0.74752,0.43515,1.68008,1.32901,1.10813,0.005149,0.005149,0.005149
51,11781.3,1.55005,1.04817,1.06797,0.8574,0.63333,0.73322,0.43861,1.6688,1.19366,1.1307,0.00505,0.00505,0.00505
52,11962.7,1.55329,1.05864,1.07611,0.89511,0.61634,0.74169,0.44726,1.61497,1.19787,1.11644,0.004951,0.004951,0.004951
53,8448.26,1.48512,0.97842,1.05442,0.79159,0.65556,0.73685,0.43528,1.6525,1.14849,1.09092,0.004852,0.004852,0.004852
